(500422, 1)
(500689, 11)
(502324, 1)
(503573, 1)
(504230, 3)
(506196, 2)
(510597, 2)
(510621, 2)
(510713, 8)
(510776, 7)
(512053, 6)
(516045, 2)
(516932, 1)
(519693, 12)
(524139, 4)
(524202, 11)
(529003, 9)
(529679, 4)
(535483, 14)
(536340, 5)
(536571, 2)
(537301, 1)
(537862, 1)
(538064, 7)
(544431, 15)
(549368, 4)
(549620, 4)
(551929, 1)
(555938, 8)
(556051, 9)
(559145, 14)
(559434, 7)
(562628, 1)
(562687, 6)
(564574, 5)
(564645, 5)
(569015, 1)
(569420, 17)
(569482, 1)
(574542, 12)
(580556, 15)
(582691, 14)
(583851, 5)
(584939, 6)
(589797, 9)
(590098, 6)
(592349, 8)
(592465, 9)
(592866, 2)
(594779, 8)
(596392, 1)
(598108, 3)
(598709, 12)
(603170, 3)
(604627, 10)
(606674, 22)
(606822, 3)
(606910, 6)
(607304, 2)
(607787, 1)
(608001, 3)
(608501, 6)
(608525, 1)
(608823, 1)
(609198, 22)
(609326, 4)
(610273, 1)
(610359, 1)
(611715, 18)
(614255, 6)
(614658, 10)
(615687, 1)
(615928, 20)
(624222, 14)
(627764, 6)
(628140, 9)
(630615, 4)
(633819, 1)
(642503, 10)
(646240, 17)
(646344, 1)
(646764, 11)
(647658, 11)
(647883, 1)
(649245, 16)
(649531, 1)
(653402, 3)
(653443, 3)
(653482, 13)
(658419, 4)
(660983, 11)
(661186, 10)
(661245, 4)
(667016, 3)
(667246, 2)
(667454, 2)
(668720, 4)
(672079, 9)
(673263, 22)
(674174, 3)
(681520, 5)
(695035, 5)
(696910, 18)
(697365, 7)
(698720, 2)
(698883, 16)
(702456, 7)
(703104, 2)
(703444, 19)
(706678, 17)
(708222, 1)
(714856, 9)
(718252, 2)
(721623, 7)
(726490, 15)
(727049, 3)
(727122, 19)
(727412, 1)
(728040, 21)
(728107, 3)
(731928, 1)
(734903, 1)
(737793, 18)
(739166, 18)
(741848, 5)
(743572, 20)
(745933, 4)
(746587, 19)
(749776, 13)
(767174, 17)
(767269, 2)
(771854, 1)
(771886, 1)
(774513, 2)
(775029, 15)
(775136, 4)
(783894, 20)
(786811, 23)
(787656, 2)
(787761, 14)
(794036, 18)
(796344, 20)
(797993, 15)
(798425, 12)
(798860, 19)
(799170, 3)
(801345, 19)
(803312, 8)
(803354, 1)
(804521, 8)
(805206, 2)
(805514, 2)
(805923, 5)
(817390, 6)
(817735, 1)
(817874, 7)
(818048, 22)
(818151, 19)
(818335, 23)
(819411, 5)
(820975, 23)
(821569, 4)
(822223, 17)
(828134, 8)
(829477, 2)
(829817, 8)
(830604, 2)
(835456, 1)
(836263, 2)
(836360, 6)
(845288, 11)
(845600, 9)
(846113, 18)
(846567, 1)
(847829, 11)
(856694, 53)
(857684, 3)
(858245, 1)
(858289, 1)
(858665, 4)
(858722, 5)
(858787, 16)
(860337, 1)
(860387, 18)
(860470, 4)
(867717, 15)
(873543, 11)
(879571, 3)
(882580, 21)
(891584, 20)
(897636, 7)
(899975, 20)
(900770, 22)
(900896, 1)
(904751, 8)
(921099, 10)
(923162, 11)
(926868, 6)
(932716, 3)
(934894, 9)
(939212, 22)
(939496, 10)
(946910, 13)
(953423, 24)
(953692, 15)
(955244, 2)
(957250, 24)
(958755, 11)
(965418, 15)
(969439, 21)
(971071, 9)
(976638, 10)
(978297, 4)
(981977, 27)
(984143, 12)
(984771, 3)
(984976, 11)
(986523, 2)
(990348, 3)
(990625, 25)
(995731, 17)
(997101, 1)
(997491, 20)
(998090, 1)
(1005487, 27)
(1006236, 2)
(1006547, 6)
(1012954, 4)
(1013233, 25)
(1013753, 7)
(1022730, 6)
